2023-10-25|09:01:12|Received from ABC Bank|ABC Bank|1000.00
2023-10-20|15:30:32|Payment to XYZ Company|XYZ Company|-500.00
2023-10-15|09:45:12|Salary from My Job|My Job Salary|3000.00
2023-10-10|14:20:23|Electricity Payment|Electricity Bill|-100.00
2023-10-05|11:15:34|Savings Account Deposit|Savings Account|2000.00
2023-09-30|08:30:23|Internet Bill Payment|Internet Bill|-50.00
2023-09-25|14:01:11|Received from Freelance Income|Freelance Income|800.00
2023-09-20|16:45:22|Rent Payment|Rent|-1200.00
2023-09-15|10:30:26|Refund from Retailer|Retailer|300.00
2023-09-10|09:15:55|Credit Card Payment|Credit Card Bill|-400.00
2022-05-05|14:30:12|Investment Dividend|Investment Dividend|150.00
2022-05-02|16:02:22|Phone Bill Payment|Phone Bill|-80.00
2022-04-20|12:15:26|Side Gig Earnings Deposit|Side Gig Earnings|350.00
2022-04-10|08:30:55|Grocery Expenses|Groceries|-75.00
2022-03-28|14:45:44|Tax Refund from Tax Authority|Tax Authority|250.00
2022-03-18|13:03:33|Gas Bill Payment|Gas Bill|-60.00
2021-02-15|10:45:10|Bonus from Employer|Employer|800.00
2021-02-05|17:20:04|Water Bill Payment|Water Bill|-40.00
2020-11-22|08:15:02|Stock Dividend|Stocks|200.00
2022-10-26|17:58:38|bew merch|aew|-30.00
2020-11-15|14:30:03|Internet Subscription Payment|Internet Subscription|-90.00
2020-10-30|12:03:52|eBay Sales Deposit|eBay|450.00
2020-10-10|15:15:21|Rent Payment|Rent|-1200.00
2020-09-28|09:30:12|Gift Money Received|Family|150.00
2020-09-20|11:45:50|Electric Bill Payment|Electric Bill|-70.00
2020-09-10|10:04:12|Refund from Merchant|Merchant|300.00
2023-10-27|01:01:07|WWE merch|WWE|25.00